{'loss': 1.6042, 'learning_rate': 5.405405405405406e-07, 'epoch': 0.0}
{'loss': 1.6971, 'learning_rate': 1.0810810810810812e-06, 'epoch': 0.0}
{'loss': 1.2894, 'learning_rate': 1.6216216216216219e-06, 'epoch': 0.01}
{'loss': 1.1897, 'learning_rate': 2.1621621621621623e-06, 'epoch': 0.01}
{'loss': 1.2124, 'learning_rate': 2.702702702702703e-06, 'epoch': 0.01}
{'loss': 1.2306, 'learning_rate': 3.2432432432432437e-06, 'epoch': 0.01}
{'loss': 1.1592, 'learning_rate': 3.7837837837837844e-06, 'epoch': 0.02}
{'loss': 1.1935, 'learning_rate': 4.324324324324325e-06, 'epoch': 0.02}
{'loss': 1.1227, 'learning_rate': 4.864864864864866e-06, 'epoch': 0.02}
{'loss': 1.146, 'learning_rate': 5.405405405405406e-06, 'epoch': 0.02}
{'loss': 1.1475, 'learning_rate': 5.945945945945947e-06, 'epoch': 0.03}
{'loss': 1.1577, 'learning_rate': 6.486486486486487e-06, 'epoch': 0.03}
{'loss': 1.1295, 'learning_rate': 7.027027027027028e-06, 'epoch': 0.03}
{'loss': 1.069, 'learning_rate': 7.567567567567569e-06, 'epoch': 0.03}
{'loss': 1.019, 'learning_rate': 8.108108108108109e-06, 'epoch': 0.04}
{'loss': 1.0847, 'learning_rate': 8.64864864864865e-06, 'epoch': 0.04}
{'loss': 1.1369, 'learning_rate': 9.189189189189191e-06, 'epoch': 0.04}
{'loss': 1.043, 'learning_rate': 9.729729729729732e-06, 'epoch': 0.04}
{'loss': 1.0833, 'learning_rate': 1.027027027027027e-05, 'epoch': 0.05}
{'loss': 1.0254, 'learning_rate': 1.0810810810810812e-05, 'epoch': 0.05}
{'loss': 1.1036, 'learning_rate': 1.1351351351351352e-05, 'epoch': 0.05}
{'loss': 1.0854, 'learning_rate': 1.1891891891891894e-05, 'epoch': 0.05}
{'loss': 1.0852, 'learning_rate': 1.2432432432432433e-05, 'epoch': 0.06}
{'loss': 1.1585, 'learning_rate': 1.2972972972972975e-05, 'epoch': 0.06}
{'loss': 1.0845, 'learning_rate': 1.3513513513513515e-05, 'epoch': 0.06}
{'loss': 1.1318, 'learning_rate': 1.4054054054054055e-05, 'epoch': 0.06}
{'loss': 1.1222, 'learning_rate': 1.4594594594594596e-05, 'epoch': 0.07}
{'loss': 1.1056, 'learning_rate': 1.5135135135135138e-05, 'epoch': 0.07}
{'loss': 1.0535, 'learning_rate': 1.5675675675675676e-05, 'epoch': 0.07}
{'loss': 1.055, 'learning_rate': 1.6216216216216218e-05, 'epoch': 0.07}
{'loss': 1.0881, 'learning_rate': 1.6756756756756757e-05, 'epoch': 0.08}
{'loss': 1.1781, 'learning_rate': 1.72972972972973e-05, 'epoch': 0.08}
{'loss': 1.0104, 'learning_rate': 1.783783783783784e-05, 'epoch': 0.08}
{'loss': 1.1148, 'learning_rate': 1.8378378378378383e-05, 'epoch': 0.08}
{'loss': 0.9915, 'learning_rate': 1.891891891891892e-05, 'epoch': 0.09}
{'loss': 1.0636, 'learning_rate': 1.9459459459459463e-05, 'epoch': 0.09}
{'loss': 1.0726, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 1.1611, 'learning_rate': 1.999996461903301e-05, 'epoch': 0.09}
{'loss': 1.1101, 'learning_rate': 1.9999858476382388e-05, 'epoch': 0.1}
{'loss': 0.9942, 'learning_rate': 1.9999681572799226e-05, 'epoch': 0.1}
{'loss': 1.0808, 'learning_rate': 1.9999433909535333e-05, 'epoch': 0.1}
{'loss': 1.0622, 'learning_rate': 1.9999115488343213e-05, 'epoch': 0.1}
{'loss': 1.0227, 'learning_rate': 1.999872631147608e-05, 'epoch': 0.11}
{'loss': 1.0567, 'learning_rate': 1.999826638168783e-05, 'epoch': 0.11}
{'loss': 1.039, 'learning_rate': 1.9997735702233006e-05, 'epoch': 0.11}
{'loss': 1.0739, 'learning_rate': 1.99971342768668e-05, 'epoch': 0.11}
{'loss': 1.044, 'learning_rate': 1.999646210984502e-05, 'epoch': 0.12}
{'loss': 1.0986, 'learning_rate': 1.999571920592405e-05, 'epoch': 0.12}
{'loss': 1.11, 'learning_rate': 1.9994905570360817e-05, 'epoch': 0.12}
{'loss': 1.0621, 'learning_rate': 1.999402120891276e-05, 'epoch': 0.12}
{'loss': 1.0127, 'learning_rate': 1.99930661278378e-05, 'epoch': 0.13}
{'loss': 1.0725, 'learning_rate': 1.9992040333894273e-05, 'epoch': 0.13}
{'loss': 1.1827, 'learning_rate': 1.9990943834340893e-05, 'epoch': 0.13}
{'loss': 1.0724, 'learning_rate': 1.9989776636936705e-05, 'epoch': 0.13}
{'loss': 1.0564, 'learning_rate': 1.9988538749941024e-05, 'epoch': 0.14}
{'loss': 1.0564, 'learning_rate': 1.9987230182113374e-05, 'epoch': 0.14}
{'loss': 1.0529, 'learning_rate': 1.998585094271344e-05, 'epoch': 0.14}
{'loss': 1.1016, 'learning_rate': 1.998440104150098e-05, 'epoch': 0.14}
{'loss': 1.1188, 'learning_rate': 1.998288048873578e-05, 'epoch': 0.15}
{'loss': 1.1063, 'learning_rate': 1.9981289295177566e-05, 'epoch': 0.15}
{'loss': 1.0527, 'learning_rate': 1.9979627472085927e-05, 'epoch': 0.15}
{'loss': 1.1054, 'learning_rate': 1.997789503122025e-05, 'epoch': 0.15}
{'loss': 0.9925, 'learning_rate': 1.9976091984839616e-05, 'epoch': 0.16}
{'loss': 1.0717, 'learning_rate': 1.9974218345702733e-05, 'epoch': 0.16}
{'loss': 1.1517, 'learning_rate': 1.9972274127067838e-05, 'epoch': 0.16}
{'loss': 1.0943, 'learning_rate': 1.997025934269259e-05, 'epoch': 0.16}
{'loss': 1.1187, 'learning_rate': 1.9968174006833996e-05, 'epoch': 0.16}
